/var/spool/sge/scc-tc2/job_scripts/4294092: line 9: /etc/profile.d/modules.sh: No such file or directory
/share/pkg.8/miniconda/25.3.1/install/etc/profile.d/mamba.sh: line 30: export: mamba: not a function
/share/pkg.8/miniconda/25.3.1/install/etc/profile.d/mamba.sh: line 31: export: __mamba_exe: not a function
Starting entity extraction at Wed Apr 15 19:10:08 EDT 2026
CPUs available: 8

============================================================
BPL Graph — Phase 1: Entity Extraction
  Year    : all
  Workers : 8
  Output  : data/graph/entities_all.jsonl
============================================================

Loading spaCy model...
Fetching documents from PostgreSQL...
  Found 11725 documents

  [1/11725] 000065223 | 40 entities | ETA: 25628.3min
  [100/11725] 057489766 | 40 entities | ETA: 420.3min
  [200/11725] 0g35bq80z | 40 entities | ETA: 364.9min
  [300/11725] 0p09dj02j | 40 entities | ETA: 330.9min
  [400/11725] 0z70h4907 | 40 entities | ETA: 301.9min
  [500/11725] 1544k6090 | 40 entities | ETA: 282.2min
  [600/11725] 1c18mz813 | 40 entities | ETA: 281.0min
  [700/11725] 1n79qf14z | 40 entities | ETA: 273.9min
  [800/11725] 1v53sj98b | 40 entities | ETA: 255.8min
  [900/11725] 2801ws15m | 40 entities | ETA: 256.7min
  [1000/11725] 2f75zx93s | 40 entities | ETA: 257.3min
  [1100/11725] 2r372967f | 40 entities | ETA: 244.5min
  [1200/11725] 2z114d81m | 40 entities | ETA: 246.1min
  [1300/11725] 37726w396 | 40 entities | ETA: 241.7min
  [1400/11725] 3f468t43c | 40 entities | ETA: 238.3min
  [1500/11725] 3r07c877r | 40 entities | ETA: 231.5min
  [1600/11725] 3x81f6682 | 40 entities | ETA: 232.3min
  [1700/11725] 4742hm203 | 40 entities | ETA: 227.7min
  [1800/11725] 4f16kd150 | 40 entities | ETA: 225.2min
  [1900/11725] 4m90ng60x | 40 entities | ETA: 224.1min
  [2000/11725] 4x51r0569 | 40 entities | ETA: 219.4min
  [2100/11725] 5425sq981 | 40 entities | ETA: 218.4min
  [2200/11725] 5d86w938x | 40 entities | ETA: 213.5min
  [2300/11725] 5q4809264 | 40 entities | ETA: 212.3min
  [2400/11725] 61092n40r | 40 entities | ETA: 208.6min
  [2500/11725] 697057901 | 40 entities | ETA: 207.0min
  [2600/11725] 6h447906x | 40 entities | ETA: 202.7min
  [2700/11725] 6q189663x | 40 entities | ETA: 202.4min
  [2800/11725] 7366dd18w | 40 entities | ETA: 199.3min
  [2900/11725] 7940g9201 | 40 entities | ETA: 197.1min
  [3000/11725] 7h14jc71x | 40 entities | ETA: 195.8min
  [3100/11725] 7s75mp20z | 40 entities | ETA: 191.8min
  [3200/11725] 8049pn590 | 40 entities | ETA: 189.0min
  [3300/11725] 8623rh24s | 40 entities | ETA: 188.2min
  [3400/11725] 8g84tx744 | 40 entities | ETA: 184.8min
  [3500/11725] 8p58wr629 | 40 entities | ETA: 183.0min
  [3600/11725] 90200c53t | 40 entities | ETA: 181.2min
  [3700/11725] 95942843x | 40 entities | ETA: 178.7min
  [3800/11725] 9c684516d | 40 entities | ETA: 177.6min
  [3900/11725] 9p296p077 | 40 entities | ETA: 174.0min
  [4000/11725] 9z909k627 | 40 entities | ETA: 171.1min
  [4100/11725] b564cc68p | 40 entities | ETA: 169.9min
  [4200/11725] bk12gp62f | 40 entities | ETA: 167.0min
  [4300/11725] bv73k784m | 40 entities | ETA: 165.4min
  [4400/11725] c247n395b | 40 entities | ETA: 162.6min
  [4500/11725] c821q326n | 40 entities | ETA: 160.8min
  [4600/11725] cf95s2165 | 40 entities | ETA: 158.0min
